epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2872752547264099,4.263160705566406,1e-04,0.3051060140132904,5.331277370452881
1,0.3423285186290741,3.5103533267974854,1e-04,0.4091796875,3.1249001026153564
2,0.37954267859458923,2.9816298484802246,1e-04,0.4270368218421936,2.661687135696411
3,0.4096700847148895,2.558230400085449,1e-04,0.4655413031578064,2.28560209274292
4,0.4355035722255707,2.2363698482513428,1e-04,0.4811663031578064,2.0439369678497314
5,0.4601501226425171,1.9915167093276978,1e-04,0.5082310438156128,1.793913722038269
6,0.47980451583862305,1.7999845743179321,1e-04,0.5238560438156128,1.6394264698028564
7,0.502496063709259,1.6509959697723389,1e-04,0.5267857313156128,1.5430949926376343
8,0.5216966271400452,1.539780855178833,1e-04,0.53515625,1.4739325046539307
9,0.5404782891273499,1.4369574785232544,1e-04,0.5684989094734192,1.3421165943145752
10,0.5562227368354797,1.3752514123916626,1e-04,0.5528739094734192,1.351017713546753
11,0.5646011233329773,1.31396484375,1e-04,0.5855189561843872,1.2365715503692627
12,0.5781812071800232,1.266789197921753,1e-04,0.5973772406578064,1.2094405889511108
13,0.5909931659698486,1.2158621549606323,1e-04,0.5821707844734192,1.2377909421920776
14,0.6027230024337769,1.1807856559753418,1e-04,0.5851004719734192,1.219552993774414
15,0.6094606518745422,1.148904800415039,1e-04,0.5902622938156128,1.2159048318862915
16,0.6223424673080444,1.1253788471221924,1e-04,0.6160714030265808,1.1400665044784546
17,0.6303718090057373,1.0899617671966553,1e-04,0.6106305718421936,1.1612812280654907
18,0.6384360194206238,1.0669573545455933,1e-04,0.6226283311843872,1.125844120979309
19,0.6501309275627136,1.0374923944473267,1e-04,0.607421875,1.1529489755630493
20,0.6608832478523254,1.0135973691940308,1e-04,0.6304408311843872,1.1066974401474
21,0.6693314909934998,0.9918912649154663,1e-04,0.6382533311843872,1.0940783023834229
22,0.6757898330688477,0.9652584195137024,1e-04,0.6363002061843872,1.1000776290893555
23,0.6836445927619934,0.9450433254241943,1e-04,0.6067243218421936,1.1976020336151123
24,0.6916041374206543,0.9334017038345337,1e-04,0.6390904188156128,1.112883448600769
25,0.6997730731964111,0.9066264033317566,1e-04,0.6400669813156128,1.0827240943908691
26,0.7082562446594238,0.8825419545173645,1e-04,0.630859375,1.1448458433151245
27,0.7141211628913879,0.8703778386116028,1e-04,0.6344866156578064,1.1172146797180176
28,0.7160760760307312,0.8631933331489563,1e-04,0.6396484375,1.1030105352401733
29,0.7295165061950684,0.8284053206443787,1e-04,0.6438336968421936,1.0867327451705933
30,0.734089732170105,0.8185620307922363,1e-04,0.6449497938156128,1.1182215213775635
31,0.7380345463752747,0.8004559278488159,1e-04,0.6452288031578064,1.1200562715530396
32,0.7645313143730164,0.7389478087425232,2e-05,0.6605747938156128,1.0834413766860962
33,0.7772386074066162,0.7097357511520386,2e-05,0.6609932780265808,1.0875914096832275
34,0.7849886417388916,0.6868888139724731,2e-05,0.6587611436843872,1.107685923576355
35,0.7881305813789368,0.6826990842819214,2e-05,0.6584821343421936,1.1043336391448975
36,0.788689136505127,0.66901034116745,2e-05,0.6593192219734192,1.0960787534713745
37,0.7924594283103943,0.6594215035438538,2e-05,0.6619698405265808,1.1162354946136475
38,0.7959155440330505,0.6520392894744873,4e-06,0.6630859375,1.1074093580245972
39,0.7973119020462036,0.646614670753479,4e-06,0.6625279188156128,1.1072494983673096
40,0.8003491163253784,0.6400123238563538,4e-06,0.6622489094734192,1.1027320623397827
41,0.8009076714515686,0.6372877955436707,4e-06,0.6633649468421936,1.1027904748916626
42,0.8027229905128479,0.6338948607444763,4e-06,0.6643415093421936,1.1038403511047363
43,0.8019898533821106,0.6308707594871521,4e-06,0.6644810438156128,1.1017972230911255
44,0.8021993637084961,0.6309442520141602,8e-07,0.6639229655265808,1.1032871007919312
45,0.8021644353866577,0.6329854726791382,8e-07,0.6637834906578064,1.103373408317566
46,0.8062838315963745,0.6259280443191528,8e-07,0.6643415093421936,1.1036559343338013
47,0.8036306500434875,0.6253554224967957,8e-07,0.6643415093421936,1.1025952100753784
48,0.8020597100257874,0.6275674104690552,8e-07,0.6637834906578064,1.1033979654312134
49,0.8089370131492615,0.6182559132575989,8e-07,0.6642020344734192,1.1036676168441772
50,0.8062489032745361,0.6243628859519958,1.6e-07,0.6637834906578064,1.1064671277999878
51,0.8033164739608765,0.6282341480255127,1.6e-07,0.6644810438156128,1.1076393127441406
52,0.8028626441955566,0.6223108768463135,1.6e-07,0.6642020344734192,1.1060388088226318
53,0.8062838315963745,0.6221047639846802,1.6e-07,0.6639229655265808,1.106705904006958
54,0.8065630793571472,0.6224199533462524,1.6e-07,0.6650390625,1.1073596477508545
55,0.8063187003135681,0.6255291104316711,1.6e-07,0.6650390625,1.1063313484191895
56,0.8041194081306458,0.6305318474769592,3.2e-08,0.6646205186843872,1.105868935585022
57,0.8045383095741272,0.6241801977157593,3.2e-08,0.6654576063156128,1.1058539152145386
58,0.8047128915786743,0.6276611685752869,3.2e-08,0.6657366156578064,1.1056108474731445
59,0.8035259246826172,0.6273117065429688,3.2e-08,0.6653180718421936,1.1050505638122559
